fips,state,county,recfac11,recfac16,recfacpth11,recfacpth16,pct_mhs18,pct_mhs1825,pct_mhs26,rank18,per100th18,rank17,per100th17,pct_diabetes18,class
1089,AL,Madison,56,50,0.164939223,0.140326455,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.7,1.0
1091,AL,Marengo,2,2,0.096856991,0.102537811,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.8,1.0
1093,AL,Marion,0,3,0.0,0.100260678,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.7,1.0
1095,AL,Marshall,4,4,0.042603,0.0420862,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.8,1.0
1097,AL,Mobile,30,31,0.072598443,0.074725444,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.9,1.0
1099,AL,Monroe,0,1,0.0,0.0463564,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.6,1.0
1101,AL,Montgomery,19,20,0.082910779,0.088216094,13.0,11.0,13.0,51.0,92.6,51.0,85.0,14.2,1.0
1103,AL,Morgan,6,7,0.0499971,0.0589131,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.4,1.0
1105,AL,Perry,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.4,1.0
1107,AL,Pickens,2,2,0.103337811,0.098449422,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.9,1.0
1109,AL,Pike,2,2,0.0606667,0.0602138,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.3,1.0
1111,AL,Randolph,1,0,0.0439754,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.0,1.0
1113,AL,Russell,4,4,0.072948772,0.068755694,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.0,1.0
1115,AL,St. Clair,4,3,0.0474997,0.0342928,13.0,11.0,13.0,51.0,92.6,51.0,85.0,8.8,1.0
1117,AL,Shelby,20,31,0.101068803,0.146868619,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.6,1.0
1119,AL,Sumter,1,1,0.07412349,0.07732756,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.7,1.0
1121,AL,Talladega,2,0,0.0244523,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,14.2,1.0
1123,AL,Tallapoosa,1,1,0.0241581,0.0246463,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.6,1.0
1125,AL,Tuscaloosa,13,12,0.066090829,0.0581728,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.8,1.0
1127,AL,Walker,6,5,0.090121213,0.077446136,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1129,AL,Washington,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1131,AL,Wilcox,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1133,AL,Winston,0,2,0.0,0.083727551,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.2,1.0
2013,AK,Aleutians East,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.3,1.0
2016,AK,Aleutians West,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.9,0.0
2020,AK,Anchorage,35,44,0.118127112,0.147960831,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.8,1.0
2050,AK,Bethel,0,1,0.0,0.0556174,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.0,0.0
2060,AK,Bristol Bay,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.1,1.0
2068,AK,Denali,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,6.8,0.0
2070,AK,Dillingham,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.2,0.0
2090,AK,Fairbanks North Star,7,12,0.071329583,0.119281923,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.9,0.0
2100,AK,Haines,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.3,0.0
2105,AK,Hoonah-Angoon,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.3,0.0
2110,AK,Juneau,6,8,0.186555562,0.246875482,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,6.3,0.0
2122,AK,Kenai Peninsula,9,8,0.159846547,0.136651692,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.2,0.0
2130,AK,Ketchikan Gateway,5,3,0.366461448,0.218547388,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.8,1.0
2150,AK,Kodiak Island,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.0,0.0
2158,AK,Kusilvak Census Area,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.4,0.0
2164,AK,Lake and Peninsula,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.5,0.0
2170,AK,Matanuska-Susitna,7,7,0.0763184,0.067228182,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.2,0.0
2180,AK,Nome,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.8,0.0
2185,AK,North Slope,1,1,0.104723008,0.103252452,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.5,0.0
2188,AK,Northwest Arctic,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,11.6,1.0
2195,AK,Petersburg,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.2,1.0
2198,AK,Prince of Wales-Hyder,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.3,1.0
2220,AK,Sitka,2,2,0.225022502,0.22810219,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,7.3,0.0
2230,AK,Skagway,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,6.6,0.0
2240,AK,Southeast Fairbanks,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.7,0.0
2261,AK,Valdez-Cordova,2,2,0.205296654,0.214132762,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,6.2,0.0
2275,AK,Wrangell,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,8.4,0.0
2282,AK,Yakutat,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.0,1.0
2290,AK,Yukon-Koyukuk,0,0,0.0,0.0,14.000000000000002,13.0,14.000000000000002,8.0,391.2,9.0,364.2,9.9,1.0
4001,AZ,Apache,0,0,0.0,0.0,12.0,10.0,12.0,48.0,129.3,48.0,121.9,12.3,1.0
4003,AZ,Cochise,11,6,0.082736627,0.0478641,12.0,10.0,12.0,48.0,129.3,48.0,121.9,7.8,0.0
4005,AZ,Coconino,8,12,0.059621,0.085665946,12.0,10.0,12.0,48.0,129.3,48.0,121.9,6.9,0.0
4007,AZ,Gila,5,2,0.093594399,0.0375256,12.0,10.0,12.0,48.0,129.3,48.0,121.9,9.0,1.0
4009,AZ,Graham,3,2,0.080810258,0.0529563,12.0,10.0,12.0,48.0,129.3,48.0,121.9,11.0,1.0
4011,AZ,Greenlee,0,0,0.0,0.0,12.0,10.0,12.0,48.0,129.3,48.0,121.9,8.8,1.0
4012,AZ,La Paz,0,0,0.0,0.0,12.0,10.0,12.0,48.0,129.3,48.0,121.9,9.9,1.0
4013,AZ,Maricopa,279,367,0.072099991,0.086691896,12.0,10.0,12.0,48.0,129.3,48.0,121.9,8.0,0.0
4015,AZ,Mohave,15,13,0.073988941,0.063295762,12.0,10.0,12.0,48.0,129.3,48.0,121.9,9.4,1.0
4017,AZ,Navajo,3,4,0.0279023,0.0369269,12.0,10.0,12.0,48.0,129.3,48.0,121.9,11.5,1.0
4019,AZ,Pima,101,116,0.102299511,0.114565751,12.0,10.0,12.0,48.0,129.3,48.0,121.9,7.6,0.0
4021,AZ,Pinal,9,13,0.0237953,0.0313166,12.0,10.0,12.0,48.0,129.3,48.0,121.9,11.7,1.0
4023,AZ,Santa Cruz,1,2,0.0210018,0.0434075,12.0,10.0,12.0,48.0,129.3,48.0,121.9,9.4,1.0
4025,AZ,Yavapai,21,24,0.099581284,0.106969509,12.0,10.0,12.0,48.0,129.3,48.0,121.9,7.2,0.0
4027,AZ,Yuma,8,12,0.0394904,0.0584047,12.0,10.0,12.0,48.0,129.3,48.0,121.9,9.5,1.0
5001,AR,Arkansas,1,1,0.052997,0.0548998,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.0,1.0
5003,AR,Ashley,0,2,0.0,0.097570495,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.9,1.0
5005,AR,Baxter,4,3,0.096756247,0.072912869,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.1,1.0
5007,AR,Benton,25,23,0.109252842,0.088904694,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.1,1.0
5009,AR,Boone,1,0,0.0269811,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.0,0.0
5011,AR,Bradley,1,1,0.087527352,0.091082977,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.8,1.0
5013,AR,Calhoun,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,6.8,0.0
5015,AR,Carroll,2,0,0.072865054,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,6.5,0.0
5017,AR,Chicot,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.6,0.0
5019,AR,Clark,2,2,0.08726765,0.088691796,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.4,1.0
5021,AR,Clay,1,1,0.063004032,0.066414292,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.6,0.0
5023,AR,Cleburne,1,0,0.038625,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.4,0.0
5025,AR,Cleveland,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.5,0.0
5027,AR,Columbia,4,2,0.162061421,0.083392403,16.0,13.0,16.0,28.0,226.0,27.0,213.3,13.6,1.0
5029,AR,Conway,2,1,0.094719394,0.0478583,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.4,1.0
5031,AR,Craighead,9,6,0.091547147,0.056721,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.1,1.0
5033,AR,Crawford,4,6,0.064725966,0.096371609,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.7,1.0
5035,AR,Crittenden,2,2,0.0396008,0.0405515,16.0,13.0,16.0,28.0,226.0,27.0,213.3,12.7,1.0
5037,AR,Cross,2,2,0.112384806,0.11739156,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.9,1.0
5039,AR,Dallas,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.6,1.0
5041,AR,Desha,1,0,0.078573112,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.8,1.0
5043,AR,Drew,1,0,0.0534045,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.3,1.0
5045,AR,Faulkner,12,7,0.103249787,0.057338,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.3,1.0
5047,AR,Franklin,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.8,1.0
5049,AR,Fulton,0,1,0.0,0.083063377,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.1,0.0
5051,AR,Garland,7,4,0.072288659,0.0407203,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.2,1.0
5053,AR,Grant,0,1,0.0,0.0552669,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.0,1.0
5055,AR,Greene,4,3,0.093565063,0.06709158,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.8,1.0
5057,AR,Hempstead,3,0,0.133392619,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.6,1.0
5059,AR,Hot Spring,1,2,0.030185,0.0597979,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.5,1.0
5061,AR,Howard,1,1,0.072353665,0.074415836,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.0,0.0
5063,AR,Independence,2,4,0.05428,0.107834151,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.6,0.0
5065,AR,Izard,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.0,1.0
5067,AR,Jackson,2,0,0.111831805,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.3,0.0
5069,AR,Jefferson,2,1,0.026313,0.0142163,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.9,1.0
5071,AR,Johnson,1,1,0.039,0.0381316,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.6,1.0
5073,AR,Lafayette,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.1,0.0
5075,AR,Lawrence,0,1,0.0,0.0600998,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.3,1.0
5077,AR,Lee,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.0,1.0
5079,AR,Lincoln,1,1,0.069754464,0.072411296,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.6,1.0
5081,AR,Little River,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.5,0.0
5083,AR,Logan,1,0,0.0449863,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.7,0.0
5085,AR,Lonoke,2,3,0.0287944,0.0418078,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.7,1.0
5087,AR,Madison,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.1,1.0
5089,AR,Marion,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.0,0.0
5091,AR,Miller,3,3,0.068569861,0.068377627,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.4,1.0
5093,AR,Mississippi,2,5,0.0434679,0.116590883,16.0,13.0,16.0,28.0,226.0,27.0,213.3,14.9,1.0
5095,AR,Monroe,0,1,0.0,0.138217001,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.2,0.0
5097,AR,Montgomery,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.9,0.0
5099,AR,Nevada,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.6,1.0
5101,AR,Newton,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.7,1.0
5103,AR,Ouachita,3,3,0.116604478,0.12490112,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.1,1.0
5105,AR,Perry,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.9,1.0
5107,AR,Phillips,1,2,0.0467181,0.104986877,16.0,13.0,16.0,28.0,226.0,27.0,213.3,13.6,1.0
5109,AR,Pike,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.0,1.0
5111,AR,Poinsett,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.7,1.0
5113,AR,Polk,1,2,0.0486523,0.099299935,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.6,0.0
5115,AR,Pope,6,6,0.095764037,0.093967299,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.5,1.0
5117,AR,Prairie,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.7,0.0
5119,AR,Pulaski,49,45,0.126720096,0.114306906,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.8,1.0
5121,AR,Randolph,2,2,0.111296605,0.114889706,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.0,1.0
5123,AR,St. Francis,0,1,0.0,0.038017,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.7,0.0
5125,AR,Saline,9,12,0.082185026,0.102060777,16.0,13.0,16.0,28.0,226.0,27.0,213.3,7.7,0.0
5127,AR,Scott,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.5,1.0
5129,AR,Searcy,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.0,1.0
5131,AR,Sebastian,15,13,0.118179096,0.101907233,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.7,1.0
5133,AR,Sevier,1,1,0.0582242,0.0589797,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.2,1.0
5135,AR,Sharp,1,1,0.0579072,0.0583499,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.4,1.0
5137,AR,Stone,0,1,0.0,0.08,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.6,0.0
5139,AR,Union,2,1,0.0483244,0.0250834,16.0,13.0,16.0,28.0,226.0,27.0,213.3,10.4,1.0
5141,AR,Van Buren,1,1,0.0581463,0.0601612,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.1,1.0
5143,AR,Washington,24,24,0.115532364,0.105448155,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.9,1.0
5145,AR,White,10,7,0.12819691,0.08878967,16.0,13.0,16.0,28.0,226.0,27.0,213.3,11.9,1.0
5147,AR,Woodruff,0,1,0.0,0.150988978,16.0,13.0,16.0,28.0,226.0,27.0,213.3,8.5,0.0
5149,AR,Yell,0,0,0.0,0.0,16.0,13.0,16.0,28.0,226.0,27.0,213.3,9.5,1.0
6001,CA,Alameda,145,156,0.094634239,0.094360394,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.6,0.0
6003,CA,Alpine,0,0,0.0,0.0,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.3,0.0
6005,CA,Amador,4,4,0.106555849,0.106743522,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.3,0.0
6007,CA,Butte,16,22,0.072726281,0.097119523,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.9,1.0
6009,CA,Calaveras,5,4,0.110710095,0.088270992,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.2,0.0
6011,CA,Colusa,0,2,0.0,0.092400092,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.1,0.0
6013,CA,Contra Costa,113,140,0.105985657,0.122953159,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.6,0.0
6015,CA,Del Norte,2,0,0.070306183,0.0,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.1,0.0
6017,CA,El Dorado,15,27,0.082884376,0.144949321,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.4,0.0
6019,CA,Fresno,39,62,0.0414735,0.063295404,12.0,10.0,12.0,12.0,338.0,11.0,315.5,9.6,1.0
6021,CA,Glenn,1,0,0.0355114,0.0,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.0,0.0
6023,CA,Humboldt,13,17,0.096126117,0.124588674,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.4,0.0
6025,CA,Imperial,6,13,0.0340605,0.071831142,12.0,10.0,12.0,12.0,338.0,11.0,315.5,9.5,1.0
6027,CA,Inyo,4,1,0.21737949,0.0554508,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.1,0.0
6029,CA,Kern,41,48,0.0483054,0.054232,12.0,10.0,12.0,12.0,338.0,11.0,315.5,10.5,1.0
6031,CA,Kings,11,7,0.072354141,0.0467299,12.0,10.0,12.0,12.0,338.0,11.0,315.5,10.5,1.0
6033,CA,Lake,4,6,0.0622345,0.093823299,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.2,0.0
6035,CA,Lassen,4,1,0.116808784,0.0323164,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.7,0.0
6037,CA,Los Angeles,714,939,0.072223361,0.09250723,12.0,10.0,12.0,12.0,338.0,11.0,315.5,9.1,1.0
6039,CA,Madera,7,8,0.0460902,0.0516242,12.0,10.0,12.0,12.0,338.0,11.0,315.5,9.4,1.0
6041,CA,Marin,56,71,0.219173793,0.271477295,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.0,0.0
6043,CA,Mariposa,2,2,0.11004732,0.114129194,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.4,0.0
6045,CA,Mendocino,17,13,0.194581478,0.148386581,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.3,0.0
6047,CA,Merced,13,19,0.0500757,0.070664019,12.0,10.0,12.0,12.0,338.0,11.0,315.5,11.3,1.0
6049,CA,Modoc,0,0,0.0,0.0,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.5,0.0
6051,CA,Mono,1,2,0.069788541,0.141833912,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.8,0.0
6053,CA,Monterey,25,29,0.0593596,0.06645843,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.2,0.0
6055,CA,Napa,20,23,0.145027374,0.16237319,12.0,10.0,12.0,12.0,338.0,11.0,315.5,7.5,0.0
6057,CA,Nevada,18,20,0.182344956,0.201912108,12.0,10.0,12.0,12.0,338.0,11.0,315.5,5.1,0.0
6059,CA,Orange,302,426,0.098904032,0.134059099,12.0,10.0,12.0,12.0,338.0,11.0,315.5,8.0,0.0
6061,CA,Placer,47,54,0.13185765,0.142201811,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.0,0.0
6063,CA,Plumas,3,3,0.152160682,0.159684888,12.0,10.0,12.0,12.0,338.0,11.0,315.5,6.9,0.0
6065,CA,Riverside,132,180,0.0590369,0.075423566,12.0,10.0,12.0,12.0,338.0,11.0,315.5,9.6,1.0
