fips,state,county,pct_laccess_pop10,pct_laccess_lowi10,pct_laccess_hhnv10,pct_laccess_child10,pct_laccess_seniors10,pct_diabetes18,class
1001,AL,Autauga,33.7696573,9.793530396,3.284785556,8.837111779,4.376377982,9.5,1.0
1003,AL,Baldwin,19.3184726,5.460260624,2.14782716,4.34319915,3.513570133,8.4,0.0
1005,AL,Barbour,20.84097171,11.42031572,4.135869371,3.425062194,2.805166443,13.5,1.0
1007,AL,Bibb,4.559752683,2.144660992,3.458580095,1.087518013,0.657007739,10.2,1.0
1009,AL,Blount,2.700840095,1.062467654,3.269379844,0.6714901911,0.340269096,10.5,1.0
1011,AL,Bullock,37.47465226,20.15173014,7.285560969,5.56256064,5.079604368,9.4,1.0
1013,AL,Butler,6.243470213,2.832029115,4.652357458,1.264267328,1.217140537,10.9,1.0
1015,AL,Calhoun,26.06108574,10.04382389,2.64551813,5.869756019,4.195726759,12.9,1.0
1017,AL,Chambers,19.72296719,8.821524906,4.426159574,4.476623344,3.421906963,12.0,1.0
1019,AL,Cherokee,0.3055532516,0.1326863763,3.564252393,0.06666684728,0.03548555018,10.5,1.0
1021,AL,Chilton,3.337712557,1.688604305,3.018511284,0.7641358472,0.5537991646,14.4,1.0
1023,AL,Choctaw,18.84879045,11.62806842,6.489997865,3.85485113,3.166733861,11.0,1.0
1025,AL,Clarke,19.58990819,11.23251266,7.274899392,5.26699054,2.822492571,14.3,1.0
1027,AL,Clay,5.331407536,1.928948336,3.286965297,1.177525704,0.9669749166,8.6,0.0
1029,AL,Cleburne,0.9809210249,0.5369355548,3.544518261,0.2115359823,0.1948820721,8.3,0.0
1031,AL,Coffee,22.81436775,7.425411658,4.454188548,5.46027242,2.990120556,13.8,1.0
1033,AL,Colbert,17.49017262,5.08981574,2.338258172,4.174278645,2.927991265,12.3,1.0
1035,AL,Conecuh,28.16587217,14.78309504,6.621534203,5.466418392,5.889327345,11.2,1.0
1037,AL,Coosa,24.58828961,6.524480323,3.52836185,4.316413734,4.901327848,9.5,1.0
1039,AL,Covington,8.828653377,3.046753433,4.269161412,1.804610003,1.740112036,11.9,1.0
1041,AL,Crenshaw,38.71628362,15.83537355,6.594574761,9.326931968,5.602071574,10.7,1.0
1043,AL,Cullman,7.829499986,3.153374299,3.092267498,1.837581454,1.456254466,11.0,1.0
1045,AL,Dale,27.55559062,10.28382257,2.685978646,7.610137593,2.737059252,11.7,1.0
1047,AL,Dallas,17.7672232,11.56345443,6.252084196,4.472785842,2.907592688,13.9,1.0
1049,AL,DeKalb,3.768654688,2.254340844,4.135196616,1.251612404,0.3631794016,11.1,1.0
1051,AL,Elmore,18.9293027,6.559576214,3.105429416,3.981424843,2.007732158,12.1,1.0
1053,AL,Escambia,13.54081837,7.576713325,3.941202319,3.3554374,2.095940466,13.5,1.0
1055,AL,Etowah,23.72804055,8.619385788,2.769081179,5.062683802,4.619493042,13.8,1.0
1057,AL,Fayette,2.537624813,1.329627887,3.49312948,0.6367778353,0.3864930963,9.4,1.0
1059,AL,Franklin,9.695227066,3.643894576,3.739746929,2.567409313,1.25919392,9.5,1.0
1061,AL,Geneva,2.262027074,0.9303119503,1.66903831,0.5044534288,0.3487140102,11.2,1.0
1063,AL,Greene,36.33515715,20.95437773,8.002548261,8.782980835,5.774881213,12.1,1.0
1065,AL,Hale,0.5527592562,0.2262691368,8.074562043,0.1649901176,0.07464651803,10.4,1.0
1067,AL,Henry,2.232764366,0.9988050068,4.944495779,0.5474500317,0.3162287195,9.8,1.0
1069,AL,Houston,21.07824739,7.332037672,2.434556077,5.497808137,2.580396638,14.2,1.0
1071,AL,Jackson,9.121428088,4.084924139,3.497367088,2.121858998,1.357703024,10.5,1.0
1073,AL,Jefferson,31.78014638,11.42199203,2.86011795,7.62666484,4.077737736,11.2,1.0
1075,AL,Lamar,0.6343170654,0.3583712258,3.418512239,0.1281753666,0.08966554899,11.8,1.0
1077,AL,Lauderdale,15.73061247,5.579330606,2.334430635,3.270611659,2.525933695,9.9,1.0
1079,AL,Lawrence,3.929754751,1.644458268,3.407283634,0.9766395118,0.5611883213,9.1,1.0
1081,AL,Lee,31.22691212,11.35168028,2.763594646,6.608703968,2.498915012,9.9,1.0
1083,AL,Limestone,12.24596772,3.949861455,2.773429055,2.338828711,1.834356906,11.3,1.0
1085,AL,Lowndes,48.70078709,26.21925005,12.71216385,11.23159059,7.386134888,11.8,1.0
1087,AL,Macon,34.98838683,19.21284519,9.916545156,8.13247262,4.897176295,11.2,1.0
1089,AL,Madison,32.86992604,8.104519215,2.099628012,7.847925523,3.709911966,10.7,1.0
1091,AL,Marengo,26.57055501,15.13906741,4.833179905,6.660848793,4.196235135,12.8,1.0
1093,AL,Marion,1.748411426,0.6361068717,3.465577345,0.4397093633,0.323027104,9.7,1.0
1095,AL,Marshall,13.77539769,6.560730718,3.507258074,3.743956551,1.803590703,9.8,1.0
1097,AL,Mobile,27.30648439,10.58853877,2.248038882,6.886410564,3.527677619,11.9,1.0
1099,AL,Monroe,30.99115176,16.94656222,6.829279931,7.816919902,5.019151707,11.6,1.0
1101,AL,Montgomery,28.01663708,11.28174783,2.621888697,7.245755106,3.262853768,14.2,1.0
1103,AL,Morgan,11.72455584,3.512085644,2.14399788,2.990804698,1.662361612,9.4,1.0
1105,AL,Perry,9.174419598,5.596648102,11.50545731,1.545143748,2.19145,13.4,1.0
1107,AL,Pickens,4.311914592,2.121777885,7.553754488,0.9661135565,0.7181176743,10.9,1.0
1109,AL,Pike,11.34627515,5.774621509,4.322880652,2.795526264,1.316138659,10.3,1.0
1111,AL,Randolph,4.630858868,2.046915454,4.607437837,1.186678959,0.8147914363,11.0,1.0
1113,AL,Russell,16.07600463,7.799166131,3.561345868,3.825614265,2.27869844,10.0,1.0
1115,AL,St. Clair,4.478454797,1.162896577,2.98417262,1.098377982,0.5928539284,8.8,1.0
1117,AL,Shelby,26.66202209,3.818115576,1.308010677,6.886753331,2.84482944,10.6,1.0
1119,AL,Sumter,16.15766189,10.57902373,7.92606217,3.864686929,2.770527533,11.7,1.0
1121,AL,Talladega,15.01058377,5.940251192,3.843537704,3.492111894,2.130513572,14.2,1.0
1123,AL,Tallapoosa,11.04844935,4.839763299,5.879893869,2.40249159,2.087295953,10.6,1.0
1125,AL,Tuscaloosa,20.28114089,7.374706098,2.253184537,4.476846069,2.295739195,11.8,1.0
1127,AL,Walker,11.23459251,3.875936132,4.711485048,2.492439267,1.73344478,11.2,1.0
1129,AL,Washington,9.716742409,3.467767943,4.795966327,2.583256737,1.51235837,11.2,1.0
1131,AL,Wilcox,44.32922518,27.56702253,12.60499684,11.78248793,6.641377206,11.2,1.0
1133,AL,Winston,4.130307166,1.452109682,2.030415914,0.9519570169,0.6987952501,10.2,1.0
2013,AK,Aleutians East,39.03376221,22.27694878,20.52360516,1.782871713,1.385712119,9.3,1.0
2016,AK,Aleutians West,13.74710627,7.533638307,8.946930401,1.385275895,0.7419777423,7.9,0.0
